"Gene.Name","Gene.ID.x","log2FoldChange","padj","Gene.ID.y","atlas_log2FC","direction_R","direction_ATLAS","match"
"Acd","ENSMUSG00000038000",0.866046566412296,0.800605318260612,"ENSMUSG00000038000",0.4,"Up","Up",TRUE
"Ace","ENSMUSG00000020681",-0.582470381984289,0.856478552809842,"ENSMUSG00000020681",-0.5,"Down","Down",TRUE
"Ace2","ENSMUSG00000015405",3.65209147533048,0.0272425196636802,"ENSMUSG00000015405",1.4,"Up","Up",TRUE
"Acer1","ENSMUSG00000045019",-0.702773554282267,0.668649980201456,"ENSMUSG00000045019",-0.6,"Down","Down",TRUE
"Acer3","ENSMUSG00000030760",0.262009178711444,0.91379680918155,"ENSMUSG00000030760",0.2,"Up","Up",TRUE
"Acin1","ENSMUSG00000022185",-0.631323288558349,0.461622529176015,"ENSMUSG00000022185",-0.6,"Down","Down",TRUE
"Ackr4","ENSMUSG00000079355",-0.834309514607037,0.597531722753881,"ENSMUSG00000079355",-0.6,"Down","Down",TRUE
"Acly","ENSMUSG00000020917",0.188671681176948,0.896569859694018,"ENSMUSG00000020917",0.2,"Up","Up",TRUE
"Aco1","ENSMUSG00000028405",0.335383104755687,0.696719558094052,"ENSMUSG00000028405",0.3,"Up","Up",TRUE
"Aco2","ENSMUSG00000022477",-0.17177254013286,0.882758103847736,"ENSMUSG00000022477",-0.2,"Down","Down",TRUE
"Acot12","ENSMUSG00000021620",0.228295956242985,0.971108796644868,"ENSMUSG00000021620",0.1,"Up","Up",TRUE
"Acot13","ENSMUSG00000006717",0.271112837007957,0.965558958325805,"ENSMUSG00000006717",0.2,"Up","Up",TRUE
"Acot4","ENSMUSG00000052392",-0.97342787793573,0.280118559227925,"ENSMUSG00000052392",-0.8,"Down","Down",TRUE
"Acot7","ENSMUSG00000028937",-0.149757684503304,0.963788928668697,"ENSMUSG00000028937",-0.1,"Down","Down",TRUE
